variable,shap_medio_abs,ic_inferior,ic_superior,importancia_impureza
language__rust,0.005733230151236057,,,0.0049176448956131935
language__n,0.005662032403051853,,,0.003111107973381877
language__swift,0.005652291234582663,,,0.004881981760263443
database__elasticsearch,0.005093004088848829,,,0.005910959094762802
EdLevel_Some college/university study without earning a degree,0.00475591653957963,,,0.0034663204569369555
language__ruby,0.004664245992898941,,,0.006878546439111233
platform__firebase,0.004383578430861235,,,0.00272953393869102
language__javascript,0.004186989739537239,,,0.002797403372824192
language__scala,0.004176763352006674,,,0.006436462514102459
database__dynamodb,0.004008821211755276,,,0.004132195841521025
"EdLevel_Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0.0037033993285149336,,,0.004034378565847874
language__c++,0.0035775264259427786,,,0.003379899775609374
"EdLevel_Other doctoral degree (Ph.D., Ed.D., etc.)",0.003404831513762474,,,0.0036070116329938173
language__clojure,0.0033720359206199646,,,0.006932850927114487
income_group_Lower middle income,0.0031560526695102453,,,0.021661929786205292
"EdLevel_Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",0.0030213447753340006,,,0.004501460585743189
database__mongodb,0.002825154224410653,,,0.003313623135909438
"EdLevel_Associate degree (A.A., A.S., etc.)",0.002817619126290083,,,0.003318893490359187
language__bash_shell,0.0026009378489106894,,,0.0037743791472166777
Age_45-54 years old,0.002565392991527915,,,0.0021908425260335207
language__elixir,0.0024899349082261324,,,0.005626657046377659
language__r,0.0023678909055888653,,,0.003207545494660735
Age_35-44 years old,0.0023513026535511017,,,0.0028851917013525963
Age_25-34 years old,0.002312423661351204,,,0.002509652404114604
language__powershell,0.0023086657747626305,,,0.003744690213352442
ICorPM_Independent contributor,0.0022855254355818033,,,0.0025987038388848305
language__java,0.002276767510920763,,,0.002796745393425226
language__objective-c,0.0021647694520652294,,,0.004185737110674381
language__vba,0.002105907304212451,,,0.0034944440703839064
OrgSize_I don’t know,0.0020263870246708393,,,0.0044030859135091305
"RemoteWork_Hybrid (some remote, some in-person)",0.0020144409500062466,,,0.003458617487922311
OrgSize_500 to 999 employees,0.0020072362385690212,,,0.002291909186169505
database__sqlite,0.001985477516427636,,,0.002486605430021882
income_group_Upper middle income,0.0019198475638404489,,,0.0038299616426229477
platform__digitalocean,0.0018863558070734143,,,0.003224731422960758
language__solidity,0.0017796390457078815,,,0.003940891940146685
ICorPM_No declarado,0.0017767477547749877,,,0.0029359201434999704
platform__managed_hosting,0.001681489055044949,,,0.004783884156495333
Age_55-64 years old,0.0016701016575098038,,,0.002105448627844453
platform__microsoft_azure,0.001623793039470911,,,0.0030927059706300497
platform__heroku,0.0015984949423000216,,,0.0032774279825389385
database__firebase_realtime_database,0.0014934849459677935,,,0.003198332851752639
language__python,0.0014723538188263774,,,0.0029333727434277534
language__delphi,0.0013100930955260992,,,0.004629910923540592
language__haskell,0.0012285002740100026,,,0.003038311144337058
OrgSize_100 to 499 employees,0.0011966080637648702,,,0.0028536724857985973
language__c,0.0011512435739859939,,,0.0031015074346214533
database__cloud_firestore,0.0009831771021708846,,,0.0031844484619796276
language__perl,0.0009572863345965743,,,0.002777386223897338
platform__vmware,0.0008755446178838611,,,0.0029409206472337246
language__lua,0.0008634360274299979,,,0.0033791367895901203
"EdLevel_Professional degree (JD, MD, etc.)",0.0008352734730578959,,,0.0029553957283496857
platform__ovh,0.0008236130233854055,,,0.00296843983232975
EdLevel_Something else,0.0008057834929786623,,,0.0019775957334786654
database__neo4j,0.0006738820811733603,,,0.003285990096628666
language__f#,0.0006318718078546226,,,0.002156526315957308
language__dart,0.0006272016325965524,,,0.0033397823572158813
database__ibm_db2,0.0006167654064483941,,,0.0030005222652107477
language__assembly,0.0005436090868897736,,,0.0031359379645437002
database__cassandra,0.000537402112968266,,,0.0026683106552809477
language__cobol,0.0005329047562554479,,,0.003352150786668062
language__ocaml,0.000497594301123172,,,0.004711566958576441
platform__linode,0.0004347289795987308,,,0.003189428010955453
platform__colocation,0.0004018193867523223,,,0.002895312150940299
language__fortran,0.0003925556957256049,,,0.003201419021934271
language__groovy,0.0003587584651540965,,,0.0026657860726118088
Age_65 years or older,0.00035006311372853816,,,0.002657969482243061
database__couchdb,0.0003380713169462979,,,0.0036772540770471096
language__erlang,0.0002859719388652593,,,0.0019189526792615652
language__matlab,0.0002844027185346931,,,0.0030213911086320877
language__lisp,0.00028169286088086665,,,0.0025037501472979784
"OrgSize_Just me - I am a freelancer, sole proprietor, etc.",0.0002604947367217392,,,0.002703459467738867
platform__oracle_cloud_infrastructure,0.00024146647774614394,,,0.0034693824127316475
language__julia,0.00023775381851010025,,,0.004128112457692623
language__sas,0.00020805354870390147,,,0.0032567381858825684
database__couchbase,0.00017818216292653233,,,0.0035443713422864676
platform__openstack,0.00016731853247620165,,,0.0030971672385931015
language__otras,0.0001560649398015812,,,0.0026176883839070797
Age_No declarado,0.00015534681733697653,,,0.003026213962584734
EdLevel_Primary/elementary school,0.00015512869867961854,,,0.0025800452567636967
platform__ibm_cloud_or_watson,9.536519792163745e-05,,,0.0034517613239586353
Age_infrequent_sklearn,9.534210403217003e-05,,,0.003308537183329463
language__crystal,6.011993536958471e-05,,,0.0033624735660851
OrgSize_infrequent_sklearn,2.3620381398359314e-05,,,0.001659923349507153
EdLevel_infrequent_sklearn,1.254693870578194e-05,,,0.0018610676052048802
database__otras,0.0,,,0.0
platform__otras,0.0,,,0.0
RemoteWork_infrequent_sklearn,0.0,,,0.0
