modelo,r2_medio,r2_desv,parametros
XGBoost,0.7739,0.0023,"{""colsample_bytree"": 0.69337, ""learning_rate"": 0.24192, ""max_depth"": 3, ""min_child_weight"": 11, ""n_estimators"": 1187, ""reg_alpha"": 0.52425, ""reg_lambda"": 0.30275, ""subsample"": 0.81658}"
XGBoost,0.7747,0.0011,"{""colsample_bytree"": 0.84789, ""learning_rate"": 0.02176, ""max_depth"": 11, ""min_child_weight"": 17, ""n_estimators"": 201, ""reg_alpha"": 4.84298, ""reg_lambda"": 16.65171, ""subsample"": 0.82332}"
XGBoost,0.7803,0.0019,"{""colsample_bytree"": 0.94132, ""learning_rate"": 0.019, ""max_depth"": 11, ""min_child_weight"": 3, ""n_estimators"": 858, ""reg_alpha"": 0.48449, ""reg_lambda"": 11.59518, ""subsample"": 0.95483}"
XGBoost,0.7843,0.0004,"{""colsample_bytree"": 0.88994, ""learning_rate"": 0.08879, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 619, ""reg_alpha"": 2.10729, ""reg_lambda"": 2.48549, ""subsample"": 0.60368}"
XGBoost,0.7842,0.0018,"{""colsample_bytree"": 0.55074, ""learning_rate"": 0.09552, ""max_depth"": 4, ""min_child_weight"": 14, ""n_estimators"": 537, ""reg_alpha"": 0.06256, ""reg_lambda"": 1.07606, ""subsample"": 0.99778}"
XGBoost,0.786,0.0016,"{""colsample_bytree"": 0.58796, ""learning_rate"": 0.01063, ""max_depth"": 7, ""min_child_weight"": 16, ""n_estimators"": 1115, ""reg_alpha"": 0.02268, ""reg_lambda"": 5.15654, ""subsample"": 0.88838}"
XGBoost,0.7858,0.0015,"{""colsample_bytree"": 0.65403, ""learning_rate"": 0.0633, ""max_depth"": 5, ""min_child_weight"": 14, ""n_estimators"": 869, ""reg_alpha"": 3.97317, ""reg_lambda"": 0.80266, ""subsample"": 0.95682}"
XGBoost,0.7827,0.0022,"{""colsample_bytree"": 0.81557, ""learning_rate"": 0.14929, ""max_depth"": 3, ""min_child_weight"": 15, ""n_estimators"": 1159, ""reg_alpha"": 1.57228, ""reg_lambda"": 0.33858, ""subsample"": 0.79968}"
XGBoost,0.7821,0.0004,"{""colsample_bytree"": 0.786, ""learning_rate"": 0.13654, ""max_depth"": 3, ""min_child_weight"": 12, ""n_estimators"": 419, ""reg_alpha"": 0.05474, ""reg_lambda"": 0.43982, ""subsample"": 0.9534}"
XGBoost,0.7809,0.0004,"{""colsample_bytree"": 0.87386, ""learning_rate"": 0.25574, ""max_depth"": 3, ""min_child_weight"": 14, ""n_estimators"": 380, ""reg_alpha"": 0.13089, ""reg_lambda"": 18.02073, ""subsample"": 0.63014}"
XGBoost,0.76,0.0005,"{""colsample_bytree"": 0.65285, ""learning_rate"": 0.01914, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 327, ""reg_alpha"": 0.02391, ""reg_lambda"": 0.80946, ""subsample"": 0.93769}"
