variable,shap_medio_abs,ic_inferior,ic_superior,importancia_impureza
platform__microsoft_azure,0.004599344450980425,,,0.0025925105437636375
database__n,0.0045482199639081955,,,0.002826428273692727
language__bash_shell_(all_shells),0.004521867725998163,,,0.003589439205825329
database__databricks_sql,0.004012778401374817,,,0.004919757600873709
Industry_Banking/Financial Services,0.0039712716825306416,,,0.003339810762554407
"EdLevel_Professional degree (JD, MD, Ph.D, Ed.D, etc.)",0.003941292408853769,,,0.0022506441455334425
Industry_Manufacturing,0.003919681999832392,,,0.0033937448170036077
database__postgresql,0.0037925306241959333,,,0.0027458248659968376
language__ruby,0.0036979957949370146,,,0.0037476918660104275
Industry_Government,0.003477359190583229,,,0.00444182800129056
"EdLevel_Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",0.003382623428478837,,,0.0039434973150491714
language__swift,0.003302196506410837,,,0.0031591677106916904
database__microsoft_access,0.0032991748303174973,,,0.006728362292051315
"EdLevel_Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0.0032761693000793457,,,0.002306122099980712
Age_55-64 years old,0.0032356595620512962,,,0.002853881334885955
platform__pnpm,0.00302101019769907,,,0.0029327766969799995
language__kotlin,0.00301178265362978,,,0.0028533029835671186
Age_35-44 years old,0.003004558617249131,,,0.0023891970049589872
ICorPM_Individual contributor,0.002979530254378915,,,0.0028688188176602125
"AIAgents_No, I use AI exclusively in copilot/autocomplete mode",0.002942301332950592,,,0.002870369702577591
database__dynamodb,0.0029352381825447083,,,0.0051037827506661415
platform__yarn,0.002850850112736225,,,0.0029166273307055235
Age_25-34 years old,0.002844922710210085,,,0.00626256363466382
"AIAgents_Yes, I use AI agents at work weekly",0.002839373191818595,,,0.0034026361536234617
AIThreat_I'm not sure,0.002769752172753215,,,0.0022656952496618032
income_group_Upper middle income,0.0026759090833365917,,,0.00411643274128437
database__snowflake,0.0026719674933701754,,,0.00496806250885129
language__scala,0.0026398198679089546,,,0.005463389214128256
"EdLevel_Associate degree (A.A., A.S., etc.)",0.0026250167284160852,,,0.0036000539548695087
database__sqlite,0.0025981825310736895,,,0.0024872629437595606
"LearnCodeAI_No, I didn't spend time learning in the past year",0.0025792052038013935,,,0.0050863465294241905
AIThreat_No,0.0025752554647624493,,,0.0021163916680961847
platform__msbuild,0.00254727341234684,,,0.002787067089229822
platform__apt,0.0024911686778068542,,,0.0025268234312534332
platform__vite,0.002471527550369501,,,0.003030813531950116
platform__composer,0.0024523893371224403,,,0.003213057527318597
platform__maven_(build_tool),0.0024502063170075417,,,0.002763519063591957
platform__cloudflare,0.0023162493016570807,,,0.003140756394714117
language__assembly,0.002283899113535881,,,0.0032030523288995028
"AISelect_No, and I don't plan to",0.0022539529018104076,,,0.0022313541267067194
database__clickhouse,0.002227740827947855,,,0.005865085870027542
database__cosmos_db,0.002188547281548381,,,0.0031610417645424604
income_group_Lower middle income,0.0020931707695126534,,,0.010435695759952068
platform__make,0.002076353644952178,,,0.0027098588179796934
"LearnCodeAI_Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",0.0018986026989296079,,,0.0023690424859523773
platform__pacman,0.0018603670177981257,,,0.002685250947251916
platform__docker,0.0018200799822807312,,,0.0033716182224452496
language__ocaml,0.001709948293864727,,,0.0053682164289057255
"Industry_Internet, Telecomm or Information Services",0.0017069525783881545,,,0.0024638765025883913
platform__chocolatey,0.0016324345488101244,,,0.0027519487775862217
"LearnCodeAI_No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",0.001609090599231422,,,0.0026613774243742228
"AIAgents_Yes, I use AI agents at work monthly or infrequently",0.0015715992776677012,,,0.002253684913739562
language__dart,0.0015012096846476197,,,0.0036567358765751123
database__ibm_db2,0.0014983353903517127,,,0.002983004553243518
language__c,0.0014942175475880504,,,0.002628868445754051
"OrgSize_Just me - I am a freelancer, sole proprietor, etc.",0.001485750894062221,,,0.005850138608366251
language__python,0.0014857419300824404,,,0.002615251112729311
Age_45-54 years old,0.0014613905223086476,,,0.0024522803723812103
platform__nuget,0.0014333863509818912,,,0.0030039791017770767
"LearnCodeAI_No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",0.0014117131941020489,,,0.0022006675135344267
language__micropython,0.0013915732270106673,,,0.004126612097024918
platform__webpack,0.001378307119011879,,,0.002580955158919096
language__java,0.0013635936193168163,,,0.002627465408295393
Age_65 years or older,0.001355673186480999,,,0.003148784628137946
platform__bun,0.001346389763057232,,,0.0031739710830152035
platform__new_relic,0.0013235077494755387,,,0.0032245025504380465
OrgSize_100 to 499 employees,0.0013093058951199055,,,0.0018626040546223521
"RemoteWork_Hybrid (some in-person, leans heavy to flexibility)",0.0012902038870379329,,,0.00201077526435256
database__supabase,0.0012628305703401566,,,0.0022017941810190678
"AIAgents_Yes, I use AI agents at work daily",0.0011926203733310103,,,0.0025022029876708984
